name,raw_pyelastica_l1_m,pyelastica_specific_l1_m,deform_no_refit_seed_42_l1_m,deform_no_refit_seed_43_l1_m,deform_no_refit_seed_44_l1_m,deform_no_refit_equal_seed_l1_m
6.pkl,0.019090213388265862,0.014618633567767943,0.018535717796933367,0.018434920199549214,0.018554994167707808,0.01850139374113503
37.pkl,0.02052046156816894,0.015341249980191398,0.019715486506830873,0.019892829276874587,0.019753177968732532,0.019784541537548356
47.pkl,0.012215580116545574,0.009790484783414936,0.01172621875805973,0.011706647379392802,0.011759006963966489,0.011728408490371088
22.pkl,0.02540842933252846,0.02104574246630431,0.024983318126045012,0.02502310496004891,0.024933958302787947,0.024979468054939898
24.pkl,0.02005008787252384,0.01618259499324743,0.019412889944182866,0.019505068925160043,0.019359550864878047,0.01942508100842146
87.pkl,0.01418177252104741,0.01099035318474682,0.013307547060473792,0.01339653833061576,0.013297094524918795,0.01333304736538888
112.pkl,0.040268043677137676,0.03031899777241912,0.039400807322236435,0.03957961187002795,0.03933695263673363,0.039436736009241476
19.pkl,0.03110325274224616,0.023668207833726654,0.03015224025595854,0.030310158450989676,0.030122642591742823,0.03019228918975918
