seed,object,action,world_condition,method,trajectory_rmse_m,relative_intervention_rmse,ade_m,fde_m,early_rmse_m,middle_rmse_m,late_rmse_m,direction_error_deg,gross_failure,coverage,coverage_error,mean_interval_width_m,nees,gaussian_nll
0,rope,diagonal_hook,matched_contact,generative_only,0.026793904966964033,1.4280095802191601,0.025461585071483123,0.05986364576617686,0.00499044291797953,0.024265829652363645,0.039820557263344575,92.41325618149845,True,0.9655612244897959,0.06556122448979584,0.07886633582062669,0.6072006408170496,-2.633153505647756
0,rope,diagonal_hook,matched_contact,physics_only,0.0035235665224100663,0.1877922145631621,0.002920892115541309,0.0064347742831703525,0.0008046279960276738,0.0035804692962237037,0.004940718755903677,7.999999999999981,False,0.8520408163265306,0.04795918367346941,0.007227446865976768,2.093691783738147,-4.163584324098649
0,rope,diagonal_hook,matched_contact,hybrid,0.0035235665224100663,0.1877922145631621,0.002920892115541309,0.0064347742831703525,0.0008046279960276738,0.0035804692962237037,0.004940718755903677,7.999999999999981,False,0.8520408163265306,0.04795918367346941,0.007227446865976768,2.093691783738147,-4.163584324098649
0,rope,diagonal_hook,shifted_contact,generative_only,0.020796722545552378,1.8053301091729888,0.020649024967048034,0.05070802351080315,0.0026880125075708595,0.01654040273189616,0.03239067861621879,92.43225362263045,True,0.9974489795918368,0.09744897959183674,0.07886633582062669,0.35442839152149974,-2.7595396302955315
0,rope,diagonal_hook,shifted_contact,physics_only,0.00735679440545757,0.6386315160033877,0.005747520543966859,0.008272039632052672,0.0035226786752462626,0.009636368823425638,0.0075672805400812315,8.018997441131912,False,0.7168367346938775,0.18316326530612248,0.007227446865976768,9.522209166379987,-0.4493256327777289
0,rope,diagonal_hook,shifted_contact,hybrid,0.00735679440545757,0.6386315160033877,0.005747520543966859,0.008272039632052672,0.0035226786752462626,0.009636368823425638,0.0075672805400812315,8.018997441131912,False,0.7168367346938775,0.18316326530612248,0.007227446865976768,9.522209166379987,-0.4493256327777289
0,cloth,diagonal_hook,matched_contact,generative_only,0.01035123431529955,1.3731004907845505,0.01111606694093122,0.026809677364699372,0.00242901485178163,0.0089212284367681,0.015592039874672555,88.59178282838546,False,0.9930555555555556,0.09305555555555556,0.054653670243738836,0.3242615947461076,-3.0411322573980644
0,cloth,diagonal_hook,matched_contact,physics_only,0.0013340151888817683,0.17695830804063808,0.0013831383768001463,0.0031793631899726515,0.00035432199256835823,0.0012504240614308905,0.001937415540879292,8.000000000000071,False,0.9930555555555556,0.09305555555555556,0.0072214066113190055,0.3332293415919815,-5.041778938963246
0,cloth,diagonal_hook,matched_contact,hybrid,0.0013340151888817683,0.17695830804063808,0.0013831383768001463,0.0031793631899726515,0.00035432199256835823,0.0012504240614308905,0.001937415540879292,8.000000000000071,False,0.9930555555555556,0.09305555555555556,0.0072214066113190055,0.3332293415919815,-5.041778938963246
0,cloth,diagonal_hook,shifted_contact,generative_only,0.008494956425829566,1.7226239355673572,0.00907432014787938,0.023476687615726397,0.0014496400424990586,0.006344142451294915,0.013409278602872072,88.60859688736902,False,1.0,0.09999999999999998,0.054653670243738836,0.21315622165047593,-3.0966849439458803
0,cloth,diagonal_hook,shifted_contact,physics_only,0.002729782973888941,0.5535507487039434,0.002527258893508401,0.004028434750385071,0.001700383291933095,0.00350630279670825,0.002674698887951938,8.016814058983565,False,0.8849206349206349,0.015079365079365137,0.0072214066113190055,1.2287229752300182,-4.594032122144226
0,cloth,diagonal_hook,shifted_contact,hybrid,0.002729782973888941,0.5535507487039434,0.002527258893508401,0.004028434750385071,0.001700383291933095,0.00350630279670825,0.002674698887951938,8.016814058983565,False,0.8849206349206349,0.015079365079365137,0.0072214066113190055,1.2287229752300182,-4.594032122144226
0,soft_block,diagonal_hook,matched_contact,generative_only,0.011883405732771893,1.2950278964790072,0.013031509806276792,0.029987616787650488,0.0026528559062024308,0.010514641388834178,0.01775410335894142,94.75514082315739,False,0.9888392857142857,0.08883928571428568,0.05758086657041301,0.39468875966771005,-2.96426806577891
0,soft_block,diagonal_hook,matched_contact,physics_only,0.0016574980066397806,0.1806305536667201,0.001748966616041291,0.003970656280437498,0.00039931447428679935,0.0015229223117347488,0.0024353032668859493,7.999999999999935,False,0.9575892857142857,0.057589285714285676,0.0072511452800303276,0.5148927916843761,-4.946687051028517
0,soft_block,diagonal_hook,matched_contact,hybrid,0.001599772563614053,0.1743397595344651,0.0017662726941373025,0.0037287089395416943,0.00043306181777646335,0.0015194106833161878,0.0023081061309020157,8.208791962534352,False,1.0,0.09999999999999998,0.016099609501400877,0.09040797079321443,-4.380169643296168
0,soft_block,diagonal_hook,shifted_contact,generative_only,0.00927499288361965,1.5470221148655516,0.010176699431638252,0.025182975147065082,0.0016046202511432984,0.0071949912352074295,0.014500797319132723,94.77311484465076,False,0.9988839285714286,0.09888392857142858,0.05758086657041301,0.22854370338587462,-3.0473405939198273
0,soft_block,diagonal_hook,shifted_contact,physics_only,0.002987856139784856,0.4983593607330192,0.0028951539949487854,0.004653833558128868,0.001842001362221727,0.0037250067623157647,0.0030896213173033115,8.017974021493313,False,0.8225446428571429,0.07745535714285712,0.0072511452800303276,1.5823340237130619,-4.412966435014174
0,soft_block,diagonal_hook,shifted_contact,hybrid,0.003111489308654089,0.5189807508269563,0.0031015873912044307,0.005311622347892973,0.0018848390876216499,0.0037539697270495232,0.0033903723602599586,8.226765984027812,False,0.9709821428571429,0.07098214285714288,0.016099609501400877,0.414078624545327,-4.218334316420111
1,rope,diagonal_hook,matched_contact,generative_only,0.026763580349137703,1.426393397552771,0.02542125322619887,0.060578758011947405,0.005070072369529268,0.024315494538698145,0.0397143745264477,94.19144352119078,True,0.9528061224489796,0.05280612244897953,0.07803278624231041,0.6141704809534996,-2.6469671850469805
