seed,object,parameter,truth,posterior_mean,absolute_error,relative_absolute_error,interval_lower,interval_upper,interval_width,covered,crps,posterior_effective_sample_size,posterior_normalized_entropy,posterior_max_abs_parameter_correlation,posterior_particles_above_uniform
0,rope,stiffness,8.5,7.939132570439453,0.5608674295605471,0.06598440347771142,6.8,8.5,1.7000000000000002,True,0.2502854783239644,7.603906083412763,0.46536498202612975,0.548167734347417,10
0,rope,damping,0.62,0.6325670983032903,0.01256709830329028,0.02026951339240368,0.27899999999999997,0.961,0.6819999999999999,True,0.07094757711178887,7.603906083412763,0.46536498202612975,0.548167734347417,10
0,rope,contact_gain,0.92,0.7868779807292685,0.13312201927073153,0.14469784703340383,0.782,0.782,0.0,False,0.12793618395175743,7.603906083412763,0.46536498202612975,0.548167734347417,10
0,cloth,stiffness,6.4,6.65647642746666,0.25647642746665955,0.040074441791665555,4.108737342222565,8.959999999999999,4.8512626577774345,True,0.307529597177741,39.8347426811889,0.8113547048586066,0.32546632796918423,40
0,cloth,damping,0.84,0.8794446877750297,0.03944468777502974,0.04695796163694017,0.37799999999999995,1.302,0.9240000000000002,True,0.08953335499213522,39.8347426811889,0.8113547048586066,0.32546632796918423,40
0,cloth,contact_gain,0.78,0.6904330265755948,0.08956697342440523,0.11482945310821183,0.5459999999999999,0.78,0.2340000000000001,True,0.05585887558626252,39.8347426811889,0.8113547048586066,0.32546632796918423,40
0,soft_block,stiffness,10.6,10.544364263068209,0.0556357369317908,0.005248654427527435,8.479999999999999,14.839999999999998,6.359999999999999,True,0.3854001120667787,24.22463931174506,0.7245072912032696,0.5643501275066971,31
0,soft_block,damping,1.08,1.1208558812778318,0.040855881277831685,0.037829519701696,0.486,1.6740000000000002,1.1880000000000002,True,0.11439066204996429,24.22463931174506,0.7245072912032696,0.5643501275066971,31
0,soft_block,contact_gain,1.06,0.9283585865280602,0.1316414134719398,0.12419001270937717,0.742,1.06,0.31800000000000006,True,0.09349652033849329,24.22463931174506,0.7245072912032696,0.5643501275066971,31
1,rope,stiffness,8.5,8.048932127477139,0.4510678725228612,0.053066808532101314,6.8,8.5,1.7000000000000002,True,0.16956434129273312,7.308134269715328,0.45866249126205794,0.528195413598827,9
1,rope,damping,0.62,0.6122966641701797,0.007703335829820301,0.012424735209387583,0.27899999999999997,0.961,0.6819999999999999,True,0.07022932864072656,7.308134269715328,0.45866249126205794,0.528195413598827,9
1,rope,contact_gain,0.92,0.7860440779813838,0.13395592201861628,0.14560426306371335,0.782,0.782,0.0,False,0.12951227395698844,7.308134269715328,0.45866249126205794,0.528195413598827,9
1,cloth,stiffness,6.4,6.514542609976166,0.11454260997616572,0.017897282808775894,3.84,8.959999999999999,5.119999999999999,True,0.2919480729347004,39.10435729162592,0.810676123647673,0.3285948195070896,42
1,cloth,damping,0.84,0.874330832015874,0.03433083201587406,0.04087003811413578,0.37799999999999995,1.302,0.9240000000000002,True,0.08898733510816692,39.10435729162592,0.810676123647673,0.3285948195070896,42
