cohort,objects,persistence_active_rmse,bayesian_action_ensemble_active_rmse,relative_change,object_wins,object_ties,object_losses,bootstrap_difference_low,bootstrap_difference_high,exact_one_sided_sign_pvalue
untouched_confirmation_v5,92,0.6629744910092352,0.6283797735320816,-0.05218106872330874,91,0,1,-0.04001843972084402,-0.02956648538083576,1.878120043150185e-26
reserved_confirmation_v4,4,0.82952018,0.79542845,-0.0411,4,0,0,-0.06871,-0.00336,
combined_confirmation_descriptive,96,0.6699138946680115,0.6353401351875106,-0.05160925867589966,95,0,1,-0.04006324977908757,-0.029468313221385007,1.2243121249030103e-27
