name,fold_scalar,alignment_cosine,baseline_l1_m,direct_l1_m,scalar_l1_m
6.pkl,3.3128037724909136,0.35013581898512997,0.019090213388265862,0.01850139374113503,0.020797688734834917
37.pkl,2.7934422721277206,0.2848000302090398,0.02052046156816894,0.019784541537548356,0.019891970261485505
47.pkl,2.678146324142859,0.3618067734780578,0.012215580116545574,0.011728408490371088,0.012628302381320173
22.pkl,2.4073868983581255,0.32661982648377547,0.02540842933252846,0.024979468054939898,0.02503446957550083
24.pkl,2.4289362014875393,0.4106423241040111,0.02005008787252384,0.01942508100842146,0.018830156762221394
87.pkl,2.5018307099594197,0.44966410497066467,0.01418177252104741,0.01333304736538888,0.0126058301015234
112.pkl,2.1148559124499196,0.37969119182380684,0.040268043677137676,0.039436736009241476,0.03929919522473076
19.pkl,2.2364361515799516,0.41463520728093445,0.03110325274224616,0.03019228918975918,0.029636501907931483
