panel,family,dlo,trajectory,arm,normalized_mse,rmse_mm2
all_queries,squared_distance,DLO4,16.pkl,empirical_horizon_centered,0.004125201004729404,8668.945891796608
all_queries,squared_distance,DLO4,30.pkl,empirical_horizon_centered,0.0033900131547649993,7858.586296020682
all_queries,squared_distance,DLO4,35.pkl,empirical_horizon_centered,0.005709091387600699,10198.28706138754
all_queries,squared_distance,DLO4,41.pkl,empirical_horizon_centered,0.005083660380718116,9623.47670792396
all_queries,squared_distance,DLO4,5.pkl,empirical_horizon_centered,0.004643752818967658,9197.67971218374
all_queries,squared_distance,DLO4,56.pkl,empirical_horizon_centered,0.00570443355104116,10194.126009845362
all_queries,squared_distance,DLO4,58.pkl,empirical_horizon_centered,0.0036348127919929554,8137.383026892693
all_queries,squared_distance,DLO4,66.pkl,empirical_horizon_centered,0.007475097835512896,11669.498040477964
all_queries,squared_distance,DLO4,70.pkl,empirical_horizon_centered,0.006672029674154904,11024.85076392898
all_queries,squared_distance,DLO4,81.pkl,empirical_horizon_centered,0.010256912789539352,13669.482278061903
all_queries,squared_distance,DLO4,84.pkl,empirical_horizon_centered,0.004983904517079889,9528.588928988369
all_queries,squared_distance,DLO4,93.pkl,empirical_horizon_centered,0.00534739301101405,9869.946234114563
all_queries,squared_distance,DLO4,96.pkl,empirical_horizon_centered,0.004096416042306356,8638.647718360635
all_queries,squared_distance,DLO4,11.pkl,empirical_symmetric_residual,0.00373998357373511,8254.268318271133
all_queries,squared_distance,DLO4,16.pkl,empirical_symmetric_residual,0.0038596180692294342,8385.247779585712
all_queries,squared_distance,DLO4,30.pkl,empirical_symmetric_residual,0.00317114086415495,7600.663433643712
all_queries,squared_distance,DLO4,35.pkl,empirical_symmetric_residual,0.0054649137194802706,9977.813674356938
all_queries,squared_distance,DLO4,41.pkl,empirical_symmetric_residual,0.004888808295392198,9437.245190138623
all_queries,squared_distance,DLO4,5.pkl,empirical_symmetric_residual,0.004397842229777635,8950.835124566276
all_queries,squared_distance,DLO4,56.pkl,empirical_symmetric_residual,0.005438271953609421,9953.462754879622
all_queries,squared_distance,DLO4,58.pkl,empirical_symmetric_residual,0.0033828536338340836,7850.283459367889
all_queries,squared_distance,DLO4,66.pkl,empirical_symmetric_residual,0.007228553918346856,11475.442659798871
all_queries,squared_distance,DLO4,70.pkl,empirical_symmetric_residual,0.006378135243628438,10779.30093792746
all_queries,squared_distance,DLO4,81.pkl,empirical_symmetric_residual,0.01001048702139747,13504.277020456291
all_queries,squared_distance,DLO4,84.pkl,empirical_symmetric_residual,0.00474025668513466,9292.758792350038
all_queries,squared_distance,DLO4,93.pkl,empirical_symmetric_residual,0.005064792216809484,9605.601189285697
all_queries,squared_distance,DLO4,96.pkl,empirical_symmetric_residual,0.0038505126789444666,8375.35094054678
all_queries,squared_distance,DLO4,11.pkl,source_query_bias,0.0025544629184723728,6821.714447628405
all_queries,squared_distance,DLO4,16.pkl,source_query_bias,0.0022534488238689153,6407.189731774005
all_queries,squared_distance,DLO4,30.pkl,source_query_bias,0.0026857160988485217,6994.7755942638805
all_queries,squared_distance,DLO4,35.pkl,source_query_bias,0.004357193750368264,8909.373602262367
all_queries,squared_distance,DLO4,41.pkl,source_query_bias,0.0036034762996394105,8102.2300446817635
all_queries,squared_distance,DLO4,5.pkl,source_query_bias,0.0027990532642213875,7140.840230904873
all_queries,squared_distance,DLO4,56.pkl,source_query_bias,0.004877414802772753,9426.241905042481
all_queries,squared_distance,DLO4,58.pkl,source_query_bias,0.002263437315302225,6421.374078293275
all_queries,squared_distance,DLO4,66.pkl,source_query_bias,0.005913648803968822,10379.38208619226
all_queries,squared_distance,DLO4,70.pkl,source_query_bias,0.004507370849394696,9061.61028973939
all_queries,squared_distance,DLO4,81.pkl,source_query_bias,0.008966585104645687,12780.77744019052
all_queries,squared_distance,DLO4,84.pkl,source_query_bias,0.003621049161530364,8121.961853141329
all_queries,squared_distance,DLO4,93.pkl,source_query_bias,0.0036949442507563227,8204.416132536095
all_queries,squared_distance,DLO4,96.pkl,source_query_bias,0.0026729685668200566,6978.155784237138
all_queries,squared_distance,DLO4,11.pkl,source_query_horizon_bias,0.0026137576709456436,6900.4338199511485
all_queries,squared_distance,DLO4,16.pkl,source_query_horizon_bias,0.003093730132499498,7507.320352602811
all_queries,squared_distance,DLO4,30.pkl,source_query_horizon_bias,0.003128339840382693,7549.195939321562
all_queries,squared_distance,DLO4,35.pkl,source_query_horizon_bias,0.004382679278528066,8935.391384548404
all_queries,squared_distance,DLO4,41.pkl,source_query_horizon_bias,0.003908387839719719,8438.059074338295
all_queries,squared_distance,DLO4,5.pkl,source_query_horizon_bias,0.003959922004268535,8493.507035143055
all_queries,squared_distance,DLO4,56.pkl,source_query_horizon_bias,0.006090614435108609,10533.538539492109
all_queries,squared_distance,DLO4,58.pkl,source_query_horizon_bias,0.002997158784114706,7389.220232076134
all_queries,squared_distance,DLO4,66.pkl,source_query_horizon_bias,0.006787577050659737,11119.906130722748
all_queries,squared_distance,DLO4,70.pkl,source_query_horizon_bias,0.005076293411946939,9616.50126598716
all_queries,squared_distance,DLO4,81.pkl,source_query_horizon_bias,0.008788581536761026,12653.28027620538
all_queries,squared_distance,DLO4,84.pkl,source_query_horizon_bias,0.004685289736489298,9238.723321051504
all_queries,squared_distance,DLO4,93.pkl,source_query_horizon_bias,0.003859100713948532,8384.685768328738
all_queries,squared_distance,DLO4,96.pkl,source_query_horizon_bias,0.00311223367127698,7529.737450843802
all_queries,squared_distance,DLO4,11.pkl,source_query_ridge,0.0030051686699723865,7399.08746360521
all_queries,squared_distance,DLO4,16.pkl,source_query_ridge,0.0030908583829234223,7503.835215163649
all_queries,squared_distance,DLO4,30.pkl,source_query_ridge,0.002805284149288071,7148.783813349227
all_queries,squared_distance,DLO4,35.pkl,source_query_ridge,0.004981485695148402,9526.27640906298
all_queries,squared_distance,DLO4,41.pkl,source_query_ridge,0.00429402614315278,8844.556832733759
all_queries,squared_distance,DLO4,5.pkl,source_query_ridge,0.0031997331779202286,7634.851900209975
all_queries,squared_distance,DLO4,56.pkl,source_query_ridge,0.005077111836589274,9617.276444229507
all_queries,squared_distance,DLO4,58.pkl,source_query_ridge,0.002806299444975807,7150.077349474378
all_queries,squared_distance,DLO4,66.pkl,source_query_ridge,0.006505091171981177,10886.05260719731
all_queries,squared_distance,DLO4,70.pkl,source_query_ridge,0.005231835526538224,9762.718706063672
all_queries,squared_distance,DLO4,81.pkl,source_query_ridge,0.009918668178885356,13442.201944682174
all_queries,squared_distance,DLO4,84.pkl,source_query_ridge,0.004266202570176346,8815.85566771436
all_queries,squared_distance,DLO4,93.pkl,source_query_ridge,0.00440791268877307,8961.077360516414
all_queries,squared_distance,DLO4,96.pkl,source_query_ridge,0.0030249736798848063,7423.428586244982
all_queries,bending_statistic,DLO4,11.pkl,point_plugin,0.21280246651910795,1671.6003627565433
all_queries,bending_statistic,DLO4,16.pkl,point_plugin,0.32050554368086276,2051.4545560936776
