trajectory,baseline_l1_mm,ridge_l1_mm,gp_l1_mm,gp_minus_ridge_mm
50.pkl,8.373876129253214,7.682426074473129,7.52549219719398,-0.15693387727914923
3.pkl,10.460109375734893,9.170895030839683,9.075745554517978,-0.09514947632170527
106.pkl,5.752618261899964,5.417606046286005,5.425760048431546,0.00815400214554049
19.pkl,5.3223737044653046,4.5981121328892565,4.516190565529051,-0.08192156736020526
25.pkl,13.72001420213813,12.368520742217827,12.18145070011794,-0.18707004209988531
102.pkl,5.465983742094171,5.728538884034684,5.4310759005997005,-0.2974629834349837
6.pkl,7.3177336805759,6.812705348407509,6.804188905216805,-0.008516443190703833
56.pkl,6.883525907551526,6.143596118706112,6.017360194508857,-0.1262359241972549
