dlo,name,base_l1_m,deterministic_l1_m,bayesian_l1_m,deterministic_to_base_ratio,deterministic_minus_bayesian_l1_m
DLO2,103.pkl,0.006238322911615203,0.005740064382183513,0.005740064382183513,0.9201294103413632,0.0
DLO2,104.pkl,0.007757014908818017,0.00687064639418472,0.00687064639418472,0.8857332975310268,0.0
DLO2,115.pkl,0.011046754750570665,0.009865509383458388,0.009865509383458388,0.8930685623258491,0.0
DLO2,119.pkl,0.0081238852590506,0.0076520898784699564,0.0076520898784699564,0.9419249083983519,0.0
DLO2,13.pkl,0.011350288734707377,0.010534736570254631,0.010534736570254631,0.9281470116298525,0.0
DLO2,21.pkl,0.0038518509605217064,0.0033619171500284305,0.0033619171500284305,0.8728056159195428,0.0
DLO2,30.pkl,0.006485951742824451,0.005794036719063952,0.005794036719063952,0.8933209725887987,0.0
DLO2,41.pkl,0.00987785876044401,0.008465746413116544,0.008465746413116544,0.8570426666776929,0.0
DLO2,43.pkl,0.012600790104675698,0.011253756036673791,0.011253756036673791,0.8930992376817648,0.0
DLO2,5.pkl,0.008948237178166254,0.007912624579799275,0.007912624579799275,0.8842662998591634,0.0
DLO2,59.pkl,0.011904936560085944,0.010769883336728512,0.010769883336728512,0.9046569280206868,0.0
DLO2,71.pkl,0.005913851751045193,0.0053179555315173346,0.0053179555315173346,0.8992372070499498,0.0
DLO2,86.pkl,0.008534326082564036,0.007661442962839459,0.007661442962839459,0.8977209083318353,0.0
DLO2,87.pkl,0.00982340286198642,0.008847420208720895,0.008847420208720895,0.9006471925281329,0.0
DLO3,10.pkl,0.00951956001944451,0.00840200954779797,0.00840200954779797,0.882604818987028,0.0
DLO3,106.pkl,0.0063337040844870076,0.005683772944539664,0.005683772944539664,0.8973853007217049,0.0
DLO3,122.pkl,0.010565655810915562,0.009956352753077545,0.009956352753077545,0.9423317332362335,0.0
DLO3,21.pkl,0.005409801818117905,0.00479500074510518,0.00479500074510518,0.8863542337255864,0.0
DLO3,26.pkl,0.005598068936731681,0.005065985443387961,0.005065985443387961,0.9049523149219441,0.0
DLO3,38.pkl,0.00751312541285952,0.006390092261605472,0.006390092261605472,0.8505238380112947,0.0
DLO3,4.pkl,0.006584508901828504,0.005772677335700672,0.005772677335700672,0.8767058290554687,0.0
DLO3,42.pkl,0.006284837069390963,0.005470690991924444,0.005470690991924444,0.870458681986896,0.0
DLO3,55.pkl,0.008236302042089898,0.007414452573933361,0.007414452573933361,0.9002162057733376,0.0
DLO3,58.pkl,0.007646739124231097,0.007133026331556426,0.007133026331556426,0.9328193646561302,0.0
DLO3,65.pkl,0.008104072129441153,0.007478422358697541,0.007478422358697541,0.9227980994306925,0.0
DLO3,72.pkl,0.00620363994274207,0.005384734854018511,0.005384734854018511,0.867996031961585,0.0
DLO3,74.pkl,0.0068346136205965574,0.006395745866456337,0.006395745866456337,0.935787481414068,0.0
DLO3,90.pkl,0.0038904260606278484,0.0035102291209605486,0.0035102291209605486,0.9022737011981812,0.0
DLO4,11.pkl,0.009111036359723566,0.008035523693049815,0.008035523693049815,0.881954958337321,0.0
DLO4,16.pkl,0.008087322531689402,0.007072046473592941,0.007072046473592941,0.8744607929115974,0.0
DLO4,30.pkl,0.010136482372941489,0.00898953753697815,0.00898953753697815,0.8868498169517846,0.0
DLO4,35.pkl,0.010915157907429023,0.009709710885672762,0.009709710885672762,0.8895621087684115,0.0
DLO4,41.pkl,0.009535794932019533,0.008366649088326452,0.008366649088326452,0.8773939821453907,0.0
DLO4,5.pkl,0.008575493320224276,0.007686032804472169,0.007686032804472169,0.8962787932381195,0.0
DLO4,56.pkl,0.00909919484170625,0.008132317661427921,0.008132317661427921,0.8937403586692487,0.0
DLO4,58.pkl,0.00792743766289049,0.00719999845369339,0.00719999845369339,0.9082377887873719,0.0
DLO4,66.pkl,0.011935114530905542,0.010695278314894946,0.010695278314894946,0.8961186159713771,0.0
DLO4,70.pkl,0.011003909732303625,0.010113279009021679,0.010113279009021679,0.9190623383007799,0.0
DLO4,81.pkl,0.01356485635308164,0.012780481968584459,0.012780481968584459,0.9421759903621103,0.0
