bank,component_id,hypothesis_id,particle_id,hypothesis_index,particle_index,contact,action,evaluation_frame_interval,global_translation_coordinate_rmse_m,global_translation_fde_m,global_translation_track_error_m,oracle_global_bias_x_m,oracle_global_bias_y_m,oracle_global_bias_z_m,oracle_point_bias_capped_fraction,oracle_point_bias_mean_norm_m,oracle_point_bias_p95_norm_m,oracle_point_bias_valid_node_count,point_capped_coordinate_rmse_m,point_capped_fde_m,point_capped_track_error_m,point_uncapped_coordinate_rmse_m,point_uncapped_fde_m,point_uncapped_track_error_m,readout_coordinate_rmse_m,readout_fde_m,readout_track_error_m,state_coordinate_rmse_m,state_fde_m,state_track_error_m,valid_point_frames
expanded_bank,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_-8.0::grid_4_5,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_-8.0,grid_4_5,78,2,"{""attachment_shifts"":[1],""contact_prior_weight"":0.0013352442704295455,""delay_steps"":2,""gain_multiplier"":1.15,""rotation_degrees"":-8.0,""slip_fraction"":0.0}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.01960695022501682,0.040879991274353655,0.027361982476590822,-0.0074507247128424514,-0.023079709336939702,-0.0009915162440162623,0.9534603327706775,0.03491195899406664,0.0764853609356251,4147,0.01969388874915655,0.04082216160562433,0.025851850333332496,0.008172029630650739,0.018542549690079745,0.010298405824101634,0.02410025503091342,0.04976153458850856,0.03476062907801359,0.025324086336987076,0.04989383351270308,0.03672986373603169,68867
expanded_bank,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_-8.0::grid_3_4,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_-8.0,grid_3_4,78,3,"{""attachment_shifts"":[1],""contact_prior_weight"":0.0013352442704295455,""delay_steps"":2,""gain_multiplier"":1.15,""rotation_degrees"":-8.0,""slip_fraction"":0.0}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.018012117973806082,0.038157037041613585,0.02538079341241921,-0.00758515765024767,-0.023014009049894844,-0.0034491844425165894,0.9570774053532675,0.033679385547568316,0.06610534292290121,4147,0.01843399268142997,0.03913418467050884,0.02449541453132656,0.007747003488132467,0.018176746267137948,0.00992898139506703,0.022893851315387227,0.04820637472364858,0.03342550558603343,0.02388083145636347,0.04792691960795931,0.0349332325573705,68867
expanded_bank,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0::grid_4_4,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0,grid_4_4,79,0,"{""attachment_shifts"":[1],""contact_prior_weight"":0.0013352442704295455,""delay_steps"":2,""gain_multiplier"":1.15,""rotation_degrees"":8.0,""slip_fraction"":0.0}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.019736522146860863,0.041171795851530975,0.02785683803558572,-0.004815633647329549,-0.02534849514552561,-0.0014252752672698728,0.9698577284784181,0.03626503223599077,0.07737498609831184,4147,0.02026281110672859,0.043158605360544854,0.02692752827328989,0.008469321115191119,0.01901124342259787,0.010877058636074428,0.024741051328484514,0.0524759172011172,0.0359743070920148,0.025931856475417615,0.05266692518159863,0.03793362522041651,68867
expanded_bank,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0::grid_4_3,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0,grid_4_3,79,1,"{""attachment_shifts"":[1],""contact_prior_weight"":0.0013352442704295455,""delay_steps"":2,""gain_multiplier"":1.15,""rotation_degrees"":8.0,""slip_fraction"":0.0}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.019563197910363716,0.04100387322029677,0.027620634679712475,-0.005375817872922408,-0.02539373581930548,-0.0012814309624003613,0.9703400048227634,0.03618263141266758,0.07678885302572093,4147,0.020171918740121746,0.04291739931894925,0.02679408244011324,0.008406658350187822,0.018825232832199702,0.010781656886109815,0.024654542782315592,0.0522577232149589,0.03586218768737586,0.02592874869725074,0.05264390341450981,0.038002630384243084,68867
expanded_bank,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0::grid_4_5,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0,grid_4_5,79,2,"{""attachment_shifts"":[1],""contact_prior_weight"":0.0013352442704295455,""delay_steps"":2,""gain_multiplier"":1.15,""rotation_degrees"":8.0,""slip_fraction"":0.0}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.019763681031220837,0.041199207537956216,0.027884827270088713,-0.004745619370831535,-0.025376600572302156,-0.0014211085748407598,0.9698577284784181,0.036319232056977215,0.07748803797861745,4147,0.02028621041138483,0.04311729228256476,0.026974071637364032,0.00846026253989058,0.018973461944755732,0.010849150741577262,0.024767731514425448,0.05242141122590364,0.03603021031481907,0.025966560021368972,0.052623700290463225,0.03799646611310976,68867
expanded_bank,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0::grid_3_4,known_action__shift_+1__gain_1.150__delay_2__slip_0.000__rot_+8.0,grid_3_4,79,3,"{""attachment_shifts"":[1],""contact_prior_weight"":0.0013352442704295455,""delay_steps"":2,""gain_multiplier"":1.15,""rotation_degrees"":8.0,""slip_fraction"":0.0}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.01819787460398586,0.03865363987059293,0.025966634303802475,-0.0047858194179299565,-0.02508953906296181,-0.0038263703719185254,0.9717868338557993,0.034940262387989494,0.06700415738773503,4147,0.019008256187503878,0.041435471031913675,0.02545464993980751,0.007998918214434938,0.01872050502001526,0.01041575264759386,0.02352670871175419,0.05082182856627606,0.03452495399159297,0.024514581797364397,0.05068866300065167,0.03609666628253321,68867
expanded_bank,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0::grid_4_4,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0,grid_4_4,80,0,"{""attachment_shifts"":[-1],""contact_prior_weight"":0.0013352442704295453,""delay_steps"":0,""gain_multiplier"":1.15,""rotation_degrees"":-8.0,""slip_fraction"":0.2}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.020119548141552174,0.04251225680807725,0.030199287924450615,0.0025005273895778867,-0.01672828260917525,0.004845342922249509,0.939956595129009,0.03341748411095881,0.0698317877714267,4147,0.018089877601814356,0.03766280048463696,0.02425287482134474,0.007139471541915813,0.018628431402665544,0.00965399256596952,0.022538515749514668,0.046428064889300596,0.033089936157773135,0.024344059501218526,0.04706801163364514,0.03598157057635207,68867
expanded_bank,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0::grid_4_3,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0,grid_4_3,80,1,"{""attachment_shifts"":[-1],""contact_prior_weight"":0.0013352442704295453,""delay_steps"":0,""gain_multiplier"":1.15,""rotation_degrees"":-8.0,""slip_fraction"":0.2}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.020189945910270197,0.044842076532085905,0.030259802433680125,0.0024964679871950055,-0.016874992642410866,0.0028886752500284405,0.9344104171690378,0.033334444157292226,0.06807557266016029,4147,0.018090142935774572,0.0402484176251821,0.024274560417676692,0.0074540723616849285,0.020969615659403654,0.010122220466704761,0.02252586603123575,0.04902730192992376,0.03304169197907543,0.024288625882545104,0.04955239854956331,0.035929544603426435,68867
expanded_bank,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0::grid_4_5,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0,grid_4_5,80,2,"{""attachment_shifts"":[-1],""contact_prior_weight"":0.0013352442704295453,""delay_steps"":0,""gain_multiplier"":1.15,""rotation_degrees"":-8.0,""slip_fraction"":0.2}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.020089518087035692,0.04192715012221106,0.030116753938220654,0.0022249338525199137,-0.01693300968640619,0.005798966397320103,0.9418857005063902,0.03353407300703465,0.07125772951916233,4147,0.018180656626034783,0.03698613032842594,0.02431980956504839,0.007044476711938072,0.017976151941312146,0.009495275051370735,0.022627942680627327,0.04577788879768266,0.03318246597865304,0.024489936157344582,0.04655537002842521,0.03612926188400118,68867
expanded_bank,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0::grid_3_4,known_action__shift_-1__gain_1.150__delay_0__slip_0.200__rot_-8.0,grid_3_4,80,3,"{""attachment_shifts"":[-1],""contact_prior_weight"":0.0013352442704295453,""delay_steps"":0,""gain_multiplier"":1.15,""rotation_degrees"":-8.0,""slip_fraction"":0.2}","{""future_action_observed"":true,""prior_weight"":1.0,""proposal_id"":""known_action"",""provenance"":""released future controller trajectory""}","[7,27]",0.018464214837678985,0.0394518352311716,0.027841468849774422,0.0027413501088143235,-0.0157982030854381,0.001639391859491837,0.9298287918977575,0.03081724399331294,0.0615392114802199,4147,0.016266154658948533,0.03450802791920623,0.021667466619524383,0.0068316884293150755,0.01769998886448763,0.0093157915641501,0.020676617353367264,0.04328440422737947,0.030371138700806325,0.022387745406184316,0.04400585293193139,0.03327280866736467,68867
