schema,group_id,scenario,method_id,solver_admissible,solver_reason,risk_score,guard_threshold,guard_accepted,exact_fallback,baseline_rmse_m,raw_rmse_m,deployed_rmse_m,raw_harmful,harmful_accepted,raw_improvement_fraction,deployed_improvement_fraction,coverage_90,predictive_width_rms_m,nominal_probability,identifiable_fraction,query_sensitivity_fraction,fixed_point_converged
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420822,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.003993383847544752,0.003993383847544752,0.003993383847544752,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420823,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008532107459452256,0.008532107459452256,0.008532107459452256,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420824,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0018661135759485605,0.0018661135759485605,0.0018661135759485605,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420825,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007769231007067137,0.007769231007067137,0.007769231007067137,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420826,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.01132785141254362,0.01132785141254362,0.01132785141254362,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420827,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.009779337645973576,0.009779337645973576,0.009779337645973576,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420828,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.003873676638452656,0.003873676638452656,0.003873676638452656,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420829,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0016554947117872892,0.0016554947117872892,0.0016554947117872892,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420830,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0066812451148761404,0.0066812451148761404,0.0066812451148761404,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420831,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005988667301689113,0.005988667301689113,0.005988667301689113,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420832,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007976006260119869,0.007976006260119869,0.007976006260119869,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420833,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007599787596001098,0.007599787596001098,0.007599787596001098,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420834,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0068543984492612205,0.0068543984492612205,0.0068543984492612205,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420835,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007911399760523028,0.007911399760523028,0.007911399760523028,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420836,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004338076701578592,0.004338076701578592,0.004338076701578592,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420837,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005788416764574352,0.005788416764574352,0.005788416764574352,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420838,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.00322990555711752,0.00322990555711752,0.00322990555711752,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420839,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008061808264819762,0.008061808264819762,0.008061808264819762,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420840,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007779908530677194,0.007779908530677194,0.007779908530677194,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420841,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.009599464061503114,0.009599464061503114,0.009599464061503114,False,False,0.0,0.0,,,1.0,0.0,0.0,True
