seed,object,held_out_topology,source_objects,world_condition,setting,observation_fraction,node_truth,node_map,node_correct,node_confidence,node_truth_probability,node_brier,node_credible_covered,delay_map,delay_map_correct,delay_map_confidence,joint_effective_sample_size,joint_normalized_entropy,gain_truth,gain_posterior_mean,gain_absolute_error,gain_interval_lower,gain_interval_upper,gain_covered,gain_crps,delay_truth,delay_posterior_mean,delay_absolute_error,delay_interval_lower,delay_interval_upper,delay_covered,delay_crps,slip_truth,slip_posterior_mean,slip_absolute_error,slip_interval_lower,slip_interval_upper,slip_covered,slip_crps,rotation_deg_truth,rotation_deg_posterior_mean,rotation_deg_absolute_error,rotation_deg_interval_lower,rotation_deg_interval_upper,rotation_deg_covered,rotation_deg_crps,parameter_effective_sample_size,stiffness_posterior_mean,stiffness_absolute_error,damping_posterior_mean,damping_absolute_error,contact_gain_posterior_mean,contact_gain_absolute_error
0,rope,True,cloth;soft_block,matched_contact,pre_intervention,0.0,6,6,True,0.5,0.5,0.5,True,0,True,0.46534653465346537,22.10317832167822,0.8064721393547003,1.0,0.8516380415993928,0.14836195840060717,0.7,1.0,True,0.07665431358792849,0.0,1.0,1.0,0.0,2.0,True,0.5024017253210469,0.0,0.02156583002743193,0.02156583002743193,0.0,0.2,True,0.0023254251238604244,8.0,6.639522045464911,1.3604779545350887,0.0,8.0,True,0.23136253309699728,7.20832049046463,7.882006605269497,0.6179933947305027,0.6369964233914882,0.016996423391488213,0.7850555934544245,0.1349444065455755
0,rope,True,cloth;soft_block,matched_contact,online_adaptation,0.2,6,6,True,0.9999999999999999,0.9999999999999999,1.2325951669147668e-32,True,0,True,0.9995184160990351,1.1635044897605518,0.07497068306504058,1.0,0.9901576084372954,0.009842391562704611,0.85,1.0,True,0.0005921932732751416,0.0,0.000482503994795534,0.000482503994795534,0.0,0.0,True,2.319239002412563e-07,0.0,8.980874227455349e-05,8.980874227455349e-05,0.0,0.0,True,4.032805094469178e-08,8.0,7.901195083599072,0.09880491640092792,8.0,8.0,True,0.0012203014381242938,6.676989858176153,7.99665839279048,0.5033416072095198,0.586088138170571,0.03391186182942896,0.7868875122029155,0.1331124877970845
0,rope,True,cloth;soft_block,shifted_contact,pre_intervention,0.0,5,6,False,0.5,0.5,0.5,True,0,False,0.46534653465346537,22.10317832167822,0.8064721393547003,0.72,0.8516380415993928,0.13163804159939285,0.7,1.0,True,0.07552731363212398,2.0,1.0,1.0,0.0,2.0,True,0.5024017253210469,0.0,0.02156583002743193,0.02156583002743193,0.0,0.2,True,0.0023254251238604244,8.0,6.639522045464911,1.3604779545350887,0.0,8.0,True,0.23136253309699728,7.20832049046463,7.882006605269497,0.6179933947305027,0.6369964233914882,0.016996423391488213,0.7850555934544245,0.1349444065455755
0,rope,True,cloth;soft_block,shifted_contact,online_adaptation,0.2,5,5,True,0.9998200736083894,0.9998200736083894,6.474701279605604e-08,True,2,True,0.9322682315097356,5.252991723474079,0.4762664700566509,0.72,0.8328954263154227,0.11289542631542271,0.7,1.0,True,0.06055961421956216,2.0,1.9114481157276606,0.0885518842723394,1.0,2.0,True,0.005021069683997778,0.0,0.013278405512464054,0.013278405512464054,0.0,0.2,True,0.0008815802647671768,8.0,6.5674848208515915,1.4325151791484085,0.0,8.0,True,0.2565124673113246,7.05584170521599,7.882232673802258,0.6177673261977423,0.6265396297772118,0.006539629777211786,0.784235450648049,0.13576454935195104
0,cloth,True,rope;soft_block,matched_contact,pre_intervention,0.0,2,2,True,0.5,0.5,0.33333333333333337,True,0,True,0.4653465346534653,33.154767482517336,0.804520809460551,1.0,0.8516380415993927,0.14836195840060729,0.7,1.0,True,0.07665431358792846,0.0,1.0,1.0,0.0,2.0,True,0.502401725321047,0.0,0.021565830027431943,0.021565830027431943,0.0,0.2,True,0.0023254251238604313,8.0,6.639522045464913,1.360477954535087,0.0,8.0,True,0.23136253309699684,11.595371795256455,6.330036218521645,0.06996378147835536,0.8775518694542207,0.03755186945422073,0.6699366051288543,0.11006339487114569
0,cloth,True,rope;soft_block,matched_contact,online_adaptation,0.2,2,2,True,0.9999999999999128,0.9999999999999128,1.3040894943408272e-26,True,0,True,0.9977862385559421,1.7583490246569264,0.16384561923006719,1.0,0.9367337632943228,0.06326623670567721,0.7,1.0,True,0.014109573107462386,0.0,0.003931171327436852,0.003931171327436852,0.0,0.0,True,7.85023643872472e-06,0.0,4.33199341273963e-05,4.33199341273963e-05,0.0,0.0,True,9.383083464011433e-09,8.0,7.935804451704692,0.0641955482953076,8.0,8.0,True,0.0005151335526168838,8.983732338849821,6.278318438357468,0.12168156164253219,0.8264934301301103,0.013506569869889629,0.6649652222557568,0.1150347777442432
0,cloth,True,rope;soft_block,shifted_contact,pre_intervention,0.0,1,2,False,0.5,0.16666666666666669,0.9999999999999999,True,0,False,0.4653465346534653,33.154767482517336,0.804520809460551,0.72,0.8516380415993927,0.13163804159939274,0.7,1.0,True,0.07552731363212398,2.0,1.0,1.0,0.0,2.0,True,0.502401725321047,0.0,0.021565830027431943,0.021565830027431943,0.0,0.2,True,0.0023254251238604313,8.0,6.639522045464913,1.360477954535087,0.0,8.0,True,0.23136253309699684,11.595371795256455,6.330036218521645,0.06996378147835536,0.8775518694542207,0.03755186945422073,0.6699366051288543,0.11006339487114569
0,cloth,True,rope;soft_block,shifted_contact,online_adaptation,0.2,1,1,True,0.9335191195372525,0.9335191195372525,0.008645857658562944,True,2,True,0.9986622862386532,1.5558517112960166,0.16331329233215908,0.72,0.7340739326527301,0.014073932652730159,0.7,1.0,True,0.018544966951855608,2.0,1.9975871051300753,0.0024128948699246866,2.0,2.0,True,2.9454925235400387e-06,0.0,0.0003611292298692145,0.0003611292298692145,0.0,0.0,True,6.520716033296225e-07,8.0,7.932392807576347,0.06760719242365276,8.0,8.0,True,0.0005713415584261,9.237517294850113,6.225017771793933,0.17498222820606735,0.8736169037796626,0.033616903779662644,0.664465678734006,0.11553432126599406
0,soft_block,True,rope;cloth,matched_contact,pre_intervention,0.0,3,3,True,0.5,0.5,0.3333333333333333,True,0,True,0.4653465346534653,33.154767482517336,0.804520809460551,1.0,0.8516380415993926,0.1483619584006074,0.7,1.0,True,0.07665431358792846,0.0,0.9999999999999999,0.9999999999999999,0.0,2.0,True,0.5024017253210469,0.0,0.021565830027431933,0.021565830027431933,0.0,0.2,True,0.002325425123860428,8.0,6.639522045464913,1.360477954535087,0.0,8.0,True,0.23136253309699684,10.622160976465153,10.08641087706579,0.51358912293421,1.1152850867641955,0.035285086764195395,0.9068982166380171,0.153101783361983
0,soft_block,True,rope;cloth,matched_contact,online_adaptation,0.2,3,3,True,1.0,1.0,4.0083492754819926e-37,True,0,True,0.9997388630683801,1.115056676883386,0.051967789035290715,1.0,0.9909404949216467,0.009059505078353292,1.0,1.0,True,0.00037025308497229403,0.0,0.00034687790295486023,0.00034687790295486023,0.0,0.0,True,7.554401122131281e-08,0.0,1.9736943553697423e-05,1.9736943553697423e-05,0.0,0.0,True,1.9477347042076015e-09,8.0,7.955606565719903,0.04439343428009668,8.0,8.0,True,0.0002463471258976613,7.2015716781480625,9.985286487103133,0.6147135128968664,1.0262591869788809,0.053740813021119216,0.9017308664665304,0.1582691335334696
