index, name, driver_version, vbios_version, memory.total [MiB]
0, NVIDIA RTX 6000 Ada Generation, 580.159.03, 95.02.59.00.09, 49140 MiB
1, NVIDIA RTX 6000 Ada Generation, 580.159.03, 95.02.59.00.09, 49140 MiB
