trajectory,gp_conditioned,gp_fit_shrunk_bias,gp_open,gp_prefix_bias,gp_wrong_prefix_control,hybrid,ridge_conditioned,ridge_fit_shrunk_bias,ridge_open,ridge_prefix_bias,ridge_wrong_prefix_control
102.pkl,5.095135382754595,5.368114856368862,5.736816874077582,5.166163601732118,6.703167479331061,5.776396373495651,5.310424739324981,5.62626653527111,6.065012301218084,5.156160491221417,7.007038803661906
106.pkl,5.181426540265118,5.186641353104605,5.236178252622737,7.039052264076833,5.201477244035471,5.518509011294339,5.022929738859133,4.976045977017709,5.163443894799037,6.859202472253747,5.184594832027724
19.pkl,4.620560472701096,4.69172755306006,4.819208237669629,4.668812884780055,6.175612172293763,5.676527830055131,4.691833489461091,4.7530053944871336,4.911974173782295,4.657555565079368,6.502945994002186
25.pkl,10.946674188727012,12.342260543998286,12.526372480436866,12.804834905382032,12.676064341186898,14.08253188592201,11.204239013021486,12.519929395386232,12.729215120738798,12.896526104071478,12.799105270061748
3.pkl,9.062100791284797,9.281720942934056,9.24103408196683,10.033642967389689,9.55214289679814,10.612346361742512,9.255911377529594,9.34184022396478,9.322535222017946,10.131970911743714,9.81409009924142
50.pkl,7.710497126542316,7.877757828042497,7.915972995165951,7.949856186821544,7.941389080833689,8.773026802239814,7.750489922799728,8.042794362338546,8.082556001068339,8.127140951941321,8.132898523134621
56.pkl,5.759455412587888,6.136288066095907,6.157250475277093,6.709397987890652,6.452723501140096,7.0303261955734975,5.836738268601878,6.185800657226128,6.277778649217209,6.760716643619732,6.59179553033916
6.pkl,6.846881801793027,6.869412248346897,6.979623644021913,7.702268329728089,6.725767157246821,7.54177278888944,6.875868786261093,6.9524887667490365,6.992627678115344,8.000346673116528,6.835794192136567
